No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
25064,2016,1,9,7,21,21,11,58,900,7,-7.8,1021.4,-16.2,0,ENE,0.9,13
25065,2016,1,9,8,19,19,7,55,800,10,-9.3,1021.6,-16.3,0,E,0.6,13
25066,2016,1,9,9,14,15,6,42,700,23,-6.1,1022.2,-16.1,0,ENE,1.3,13
25067,2016,1,9,10,17,25,8,40,800,27,-4,1022.3,-15.3,0,ENE,2,13
25068,2016,1,9,11,25,32,14,38,1000,31,-1.5,1021.8,-15,0,SE,0.7,13
25069,2016,1,9,12,39,39,20,39,1000,33,1.1,1020.7,-14.2,0,NNE,0.7,13
25070,2016,1,9,13,40,40,19,43,1100,34,2.3,1019.6,-14.4,0,NNE,0.8,13
25071,2016,1,9,14,32,38,17,46,1000,35,3.6,1019,-15.1,0,WSW,0.7,13
25072,2016,1,9,15,49,57,21,63,1100,26,4.6,1019,-14.8,0,SW,1.2,13
25073,2016,1,9,16,56,71,25,68,1200,25,4,1019.1,-15.9,0,SSW,1.5,13
25074,2016,1,9,17,58,81,23,75,1400,20,2.6,1019.5,-15.5,0,SW,1.1,13
25075,2016,1,9,18,109,129,30,99,2400,8,0.7,1019.8,-13,0,SW,1.3,13
25076,2016,1,9,19,106,133,30,98,2700,8,0,1020.2,-13.7,0,WSW,1.8,13
25077,2016,1,9,20,158,194,44,103,3600,9,0.6,1020.8,-13.9,0,W,1.8,13
25078,2016,1,9,21,232,260,49,113,3300,10,-3.6,1021.1,-12.3,0,WSW,0.7,13
